Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population, total",SP.POP.TOTL,Lesotho,LSO,2003913,2000853,1994679,1985059,1971129,1953076,1945063,1953268,1966541,1980883,1996251,2014009,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
"Population, total",SP.POP.TOTL,Lithuania,LTU,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2989139,2961250,2937253,2911109,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888055
"Population, total",SP.POP.TOTL,Luxembourg,LUX,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103,666430,677717
"Population, total",SP.POP.TOTL,Latvia,LVA,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445,1862441
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,430600,433900,438400,443600,454700,473500,498900,520900,540700,535000,537000,549600,567900,591900,621700,642900,652500,648400,658900,672000,685400,682500,677300,678800,687000
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,29996,30803,31604,32395,33171,33928,34658,35337,35958,36502,36856,37069,37276,37419,37450,37369,37175,36837,36012,34267,31786,29961,28870,27515,26129
"Population, total",SP.POP.TOTL,Morocco,MAR,28423435,28814643,29198142,29571415,29953018,30358144,30771178,31186468,31606767,32030778,32467016,32912588,33355241,33787571,34204780,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173
"Population, total",SP.POP.TOTL,Monaco,MCO,32455,32447,32422,32374,32307,32210,32057,31837,31836,32364,33163,33946,34711,35447,36128,36757,37276,37678,38154,38109,38050,38527,38931,38956,38631
"Population, total",SP.POP.TOTL,Moldova,MDA,2924668,2918135,2911385,2903198,2896023,2888985,2880967,2874299,2868833,2865213,2862354,2860699,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2389275
"Population, total",SP.POP.TOTL,Madagascar,MDG,16516338,17032939,17549913,18071854,18606608,19159707,19730909,20318583,20923840,21547280,22183340,22822300,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
"Population, total",SP.POP.TOTL,Maldives,MDV,282019,286767,291616,296491,301413,306429,313851,324479,336170,348275,360792,373674,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994,527799
"Population, total",SP.POP.TOTL,Mexico,MEX,98625552,100099099,101548624,102978515,104394131,105811504,107253666,108774360,110374288,111999721,113623895,115243504,116818208,118343573,119784261,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,50706,51123,51425,51639,51791,51906,51992,52035,52030,52019,52044,51907,51419,50681,49796,48800,47709,46529,45285,44007,42706,41367,40077,38827,37548
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2026350,2034882,2020157,2022725,2016186,2005330,1994287,1982933,1971493,1958782,1946298,1937398,1929821,1922716,1917557,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816,1792179
"Population, total",SP.POP.TOTL,Mali,MLI,11559290,11912158,12288050,12684955,13102409,13538647,13990139,14457775,14940782,15435539,15945198,16469049,16957033,17459615,18020267,18593022,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127,24478595
"Population, total",SP.POP.TOTL,Malta,MLT,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,424810,433481,444220,454505,467106,483903,503912,515490,518150,531113,552747,574346
"Population, total",SP.POP.TOTL,Myanmar,MMR,45290841,45771139,46232653,46667192,47068772,47438365,47785135,48125043,48390793,48660459,49024382,49419820,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091
"Population, total",SP.POP.TOTL,Montenegro,MNE,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620345,621418,622587,623744,624651,625353,625982,626438,626753,626590,625053,623591,623529,623831
"Population, total",SP.POP.TOTL,Mongolia,MNG,2388299,2417751,2449027,2480374,2508412,2536407,2567168,2601850,2643201,2691115,2738622,2786317,2839705,2899011,2963113,3026864,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145,3524788
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,68356,67984,66778,65421,63938,62354,60682,58941,57150,55325,54091,53608,53234,52758,52178,51514,50773,49959,49077,48129,47528,46979,46078,45143,44278
"Population, total",SP.POP.TOTL,Mozambique,MOZ,18129653,18537729,18958338,19392475,19840313,20304569,20787087,21287635,21819036,22391745,22999235,23649039,24337846,25051611,25788475,26547572,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160,34631766
"Population, total",SP.POP.TOTL,Mauritania,MRT,2613441,2678760,2738655,2802046,2868664,2939059,3013660,3093059,3183269,3284448,3390965,3502811,3619034,3734318,3848514,3965959,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441,5169395
"Population, total",SP.POP.TOTL,Mauritius,MUS,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041,1259509
"Population, total",SP.POP.TOTL,Malawi,MWI,11315942,11593058,11880440,12181574,12500737,12840031,13198701,13576343,13976417,14395788,14826463,15265022,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286
"Population, total",SP.POP.TOTL,Malaysia,MYS,22967816,23526538,24102477,24679602,25256772,25836071,26417909,26998389,27570059,28124778,28655776,29162039,29662831,30174265,30696137,31232798,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298,35557673
"Population, total",SP.POP.TOTL,Namibia,NAM,1818647,1857048,1889970,1917464,1942082,1966582,1991888,2018600,2047056,2077394,2109811,2146325,2194654,2252508,2312139,2374300,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095,3030131
"Population, total",SP.POP.TOTL,New Caledonia,NCL,223098,227707,232236,236678,240852,244381,247547,250725,253825,257250,261582,266543,271633,276822,281224,283168,283423,283546,283541,283606,284176,285214,287123,289870,292639
"Population, total",SP.POP.TOTL,Niger,NER,11509630,11920647,12349144,12796984,13265836,13756192,14268581,14803610,15361915,15943675,16548835,17176283,17836769,18519898,19215909,19939498,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867,27032412
"Population, total",SP.POP.TOTL,Nigeria,NGA,126382494,129862595,133471989,137202644,141057045,145017253,149077334,153267261,157595014,162049464,166642886,171379598,176200625,181049443,185896915,190671878,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945,232679478
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5022633,5087825,5149909,5210963,5272912,5342105,5418855,5497243,5576593,5656601,5737450,5819051,5901287,5983845,6066492,6149417,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613,6916140
"Population, total",SP.POP.TOTL,Netherlands,NLD,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117,17994237
"Population, total",SP.POP.TOTL,Norway,NOR,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594,5572272
"Population, total",SP.POP.TOTL,Nepal,NPL,24546509,24946748,25328981,25688758,26016656,26309458,26565425,26788492,26990037,27173035,27341952,27464494,27534915,27589996,27672370,27823629,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614,29651054
"Population, total",SP.POP.TOTL,Nauru,NRU,10168,10130,10082,10059,10060,10049,10034,10020,10009,10016,10043,10098,10267,10517,10742,10954,11150,11324,11477,11587,11643,11709,11801,11875,11947
"Population, total",SP.POP.TOTL,New Zealand,NZL,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117100,5245000,5338500
"Population, total",SP.POP.TOTL,Oman,OMN,2282131,2310217,2337140,2363796,2404821,2459802,2514795,2570174,2626529,2684659,2757446,3076763,3547106,3833913,4002439,4184895,4390877,4537396,4597877,4591241,4522497,4500424,4730226,5049269,5281538
"Population, total",SP.POP.TOTL,Pakistan,PAK,154879127,159270907,163222549,167110248,171286000,175453212,179682690,184493231,189499113,194376534,199239047,203746065,207667125,211073978,214264647,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164
"Population, total",SP.POP.TOTL,Panama,PAN,3010369,3069537,3129344,3189807,3251155,3313026,3375024,3437490,3500648,3564381,3628535,3693505,3759256,3825329,3892101,3960035,4029086,4098707,4167860,4234700,4293261,4345405,4400773,4458759,4515577
"Population, total",SP.POP.TOTL,Peru,PER,26598331,26964601,27288217,27580490,27852190,28101180,28324491,28530699,28719041,28896811,29086019,29304086,29550366,29817919,30115826,30457600,30866494,31324637,31897584,32449303,32838579,33155882,33475438,33845617,34217848
"Population, total",SP.POP.TOTL,Philippines,PHL,79625397,81401488,83068889,84731835,86394504,88015962,89508986,91075184,92699095,94384250,96337125,98248614,100175512,102076336,103767130,105312992,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199,115843670
"Population, total",SP.POP.TOTL,Palau,PLW,19178,19352,19503,19659,19820,19819,19593,19302,19009,18709,18396,18078,17765,17648,17715,17770,17797,17812,17814,17798,17792,17783,17759,17727,17695
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,5537064,5728435,5924003,6123997,6328041,6535905,6747720,6963345,7183002,7406438,7633523,7859346,8081390,8302698,8523441,8743246,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635,10576502
"Population, total",SP.POP.TOTL,Poland,POL,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37515748,36981559,36821749,36687353,36554707
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,23665910,23815358,23943973,24090380,24254943,24396433,24524507,24646383,24764618,24878332,24987258,25097874,25211728,25329451,25451262,25575350,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204,26498823
"Population, total",SP.POP.TOTL,Portugal,PRT,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174,10701636
"Population, total",SP.POP.TOTL,Paraguay,PRY,5100868,5187689,5261328,5326436,5388175,5448097,5505148,5559386,5613574,5671236,5737971,5814626,5897008,5982445,6069811,6159103,6249126,6338660,6427382,6515058,6603739,6684182,6760464,6844146,6929153
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,5165775,5289152
"Population, total",SP.POP.TOTL,French Polynesia,PYF,240337,244097,247775,251637,255654,259507,263223,266438,268379,269481,270580,271727,273084,274728,276387,277866,279178,280087,279815,279034,279209,279792,280378,281118,281807
"Population, total",SP.POP.TOTL,Qatar,QAT,644989,677925,711205,744682,773332,825408,972831,1208595,1426938,1608903,1616832,1624761,1722438,1916426,2151745,2344557,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032,2857822
"Population, total",SP.POP.TOTL,Romania,ROU,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19059479,19069340
"Population, total",SP.POP.TOTL,Russian Federation,RUS,146596869,145976482,145306497,144648618,144067316,143518814,143049637,142805114,142742366,142785348,142849468,143018195,143378447,143805638,144237223,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130,143533851
"Population, total",SP.POP.TOTL,Rwanda,RWA,8213931,8287094,8400180,8586875,8816844,9054528,9299246,9549933,9804269,10060432,10317553,10573733,10829901,11093340,11364757,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16177722,17041397,17910910,18786767,19669480,20559890,21459144,22368313,23287877,24217654,23978487,25091867,26168861,27624004,28309273,29816382,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33702731,35300280
"Population, total",SP.POP.TOTL,Sudan,SDN,27816745,28516770,29228727,29896035,30556637,31262444,31992435,32764135,33623980,34569113,35414399,36140806,36923178,37785849,38823318,40024431,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791,50448963
"Population, total",SP.POP.TOTL,Senegal,SEN,9968260,10212942,10466214,10721176,10975704,11235472,11500094,11770344,12048959,12337389,12635413,12958897,13310495,13710849,14152102,14593331,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573,18501984
"Population, total",SP.POP.TOTL,Singapore,SGP,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,6036860
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,440469,449125,457671,466154,474611,483080,491594,500156,508790,518141,532968,552945,573606,594945,616908,639415,662379,685672,709101,728147,744498,762591,781066,800005,819198
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4423611,4692716,4971435,5177687,5355717,5501712,5624466,5749352,5894722,6055646,6222714,6387251,6551080,6714051,6876385,7037655,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512,8642022
"Population, total",SP.POP.TOTL,El Salvador,SLV,5943366,5968060,5986631,5998599,6004671,6005578,6002319,6009824,6029297,6048279,6068249,6090127,6113975,6138839,6162955,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624,6338193
"Population, total",SP.POP.TOTL,San Marino,SMR,26799,27143,27491,27843,29457,29836,30184,31211,31662,33066,33270,32620,33469,33041,32655,32897,33101,33825,34522,34663,34770,34252,33755,33860,33977
"Population, total",SP.POP.TOTL,Somalia,SOM,8838713,9198493,9550063,9909157,10280998,10644228,10975502,11322582,11663084,11961201,12261756,12348830,12461160,12869594,13339491,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615,19009151
"Population, total",SP.POP.TOTL,Serbia,SRB,7516346,7503433,7500031,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7236519,7201497,7166553,7131787,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183,6587202
"Population, total",SP.POP.TOTL,South Sudan,SSD,6032267,6308391,6596806,6903127,7233041,7590143,7976526,8388788,8817647,9243556,9745953,10288109,10756240,11166275,11235073,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374,11943408
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,144018,146375,149922,153814,157705,161639,165638,169700,173793,177853,181802,185649,189439,193148,196767,200291,203689,206970,210187,213392,217435,221961,226305,230871,235536
"Population, total",SP.POP.TOTL,Suriname,SUR,476643,486560,496551,506414,513923,519313,524997,531016,537245,543568,549923,556269,562633,569020,575373,581627,587757,593713,599513,605768,612317,617896,623164,628886,634431
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,5422069
